name,matric_no,department,level,attendance,study_hours,ca1,ca2,assignment_score,num_courses,exam_score,gpa_sem1,gpa_sem2,cgpa,avg_course_score,at_risk
Ibrahim Adeyemi,20190100001,Physics,200,48.0,9.0,58.0,58,84,9,48.93836875991282,3.0,2.0,2.5,51.75365533265337,0
Ngozi Nwosu,20230200002,History,200,95.0,6.0,67.0,65,68,5,97.7158033119101,5.0,5.0,5.0,97.72775375678236,0
Ibrahim Sanni,20220300003,Computer Science,200,95.0,5.0,47.0,66,62,5,53.03411428231193,3.0,2.0,2.5,54.85256989691801,0
Chioma Ogunleye,20180400004,Biology,200,40.0,1.0,94.0,52,43,9,53.508946991516495,1.0,3.0,2.0,52.32657357984312,0
Ngozi Nwosu,20180500005,English Language,200,68.0,6.0,30.0,70,85,8,63.91423278790553,4.0,4.0,4.0,60.7961179701126,0
Aisha Eze,20200600006,Guidance and Counselling,100,96.0,6.0,33.0,57,50,6,56.53799356526447,4.0,3.0,3.5,53.93315136986458,0
Ngozi Balogun,20210500007,English Language,300,,3.0,33.0,77,75,6,61.78727708376246,3.0,4.0,3.5,57.18823908198927,0
Sola Nwosu,20230600008,Guidance and Counselling,200,55.0,8.0,56.0,67,45,5,54.24393719986666,4.0,3.0,3.5,50.45303499136195,0
Tunde Eze,20200700009,Chemistry,300,80.0,1.0,72.0,60,45,9,76.77295325290069,5.0,5.0,5.0,72.3500740863751,0
Sola Okeke,20210100010,Physics,200,90.0,1.0,88.0,43,58,7,34.10159245956913,0.0,0.0,0.0,30.9944844261298,1
Emeka Olawale,20190300011,Computer Science,200,83.0,6.0,61.0,58,37,7,45.58993847869669,2.0,2.0,2.0,42.31310398660314,0
Yusuf Abdullahi,20230800012,Mathematics,100,90.0,1.0,62.0,80,32,6,62.86285358293215,4.0,5.0,4.5,64.0451328980168,0
Kemi Olawale,20190900013,Educational Management,400,93.0,6.0,57.0,78,48,8,72.49879632768757,5.0,4.0,4.5,73.56338126165257,0
Yusuf Balogun,20220300014,Computer Science,400,80.0,1.0,84.0,72,95,6,100.0,5.0,5.0,5.0,101.17901262057455,0
Ibrahim Adeyemi,20230900015,Educational Management,100,46.0,6.0,89.0,34,51,5,60.94830920689332,4.0,4.0,4.0,64.47329529364806,0
Kemi Balogun,20210500016,English Language,300,53.0,3.0,99.0,71,75,8,94.20310319726248,5.0,5.0,5.0,93.96808952313414,0
