name,matric_no,department,level,attendance,study_hours,ca1,ca2,assignment_score,num_courses,exam_score,gpa_sem1,gpa_sem2,cgpa,avg_course_score,at_risk
Aisha Nwosu,2022001039,Early Childhood Education,300,65.44708168104012,1.0,85.63253908923002,48.622161083516566,96.63501530566356,8,71.75115695521913,3.66,3.63,3.53,74.88,0
Sola Eze,2023001381,History,200,51.86358959054472,6.0,88.64018007309288,49.18940755820259,30.843630411114763,7,85.45895860192817,3.48,3.64,3.67,67.92,0
Kemi Adeyemi,2023002972,Yoruba Education,100,37.93625260431271,8.0,49.907799420138616,47.83098450822272,83.41135077437237,9,,3.45,3.66,3.47,69.32,1
Yusuf Eze,2018008956,Geography,200,66.29693712120825,6.0,51.265763288696085,39.452666723936524,97.91411007988904,8,92.4779046356561,3.59,3.74,3.69,74.72,0
Yusuf Ajayi,2023005129,Educational Management,300,97.35660259631454,4.0,91.20339794343693,96.06588576725979,93.41315531724447,5,86.4040888839611,4.39,4.49,4.47,90.7,0
Emeka Olawale,2021007385,Early Childhood Education,100,77.41374804892311,9.0,31.67792488695688,58.14334587099486,97.94971128373491,6,47.30869581556111,3.04,2.8,2.97,56.48,0
Aisha Nwosu,2020004703,History,400,67.2079261808602,4.0,66.43202106370595,45.72826321821116,68.52264539883475,6,68.91141834130327,3.16,3.22,3.22,63.7,0
Kemi Ajayi,2021002557,Guidance and Counselling,200,42.194984811925046,8.0,62.457300027705074,89.26697353557705,35.47092979197718,7,50.8188371365506,3.13,3.13,3.05,57.77,1
Chioma Nwosu,2024004340,Biology,400,51.408358885723175,5.0,,57.943671186045336,89.48524384635253,6,53.08497656860517,3.24,3.38,3.18,66.38,0
Aisha Olawale,2024001825,Yoruba Education,300,54.160306722345275,1.0,41.43741901046181,32.45817677767666,72.96797790663081,9,95.23610584609975,3.42,3.48,3.54,67.47,0
Tunde Ogunleye,2023007931,Educational Management,200,84.71223091947023,,76.78315185566076,41.33590991747418,73.03157209318023,6,77.73271335469515,3.83,3.64,3.75,69.32,0
Ade Ogunleye,2021002651,Geography,100,91.98620182220026,1.0,56.37138055124135,74.7475238249319,59.20775269010804,7,98.2213289275774,3.71,3.69,3.82,77.35,0
Sola Olawale,2023004387,English Language,300,93.6067204818185,10.0,73.31003447187494,84.80336919202068,70.02893835647764,5,59.18387757031212,3.18,3.58,3.37,69.3,0
Sola Okeke,2020009819,Early Childhood Education,200,98.99695953629902,7.0,32.80665069109431,44.76540719420991,40.750584536028015,9,67.62063013477837,2.73,2.49,2.47,50.71,0
Sola Okeke,2022006327,Chemistry,100,98.85383440179461,4.0,62.32090380291566,94.21769124862995,,9,,3.54,3.29,3.51,73.3,0
Sola Ogunleye,2022005126,Chemistry,400,96.94494362991878,5.0,66.55756257876604,89.5697984036515,35.25121151460796,8,37.51009402666088,2.66,2.34,2.47,53.28,0
Tunde Sanni,2019005886,History,200,39.66843913268748,7.0,45.00284819984906,89.38665278427567,81.08465369306543,6,46.56913961686223,3.0,2.93,3.0,61.72,1
Ibrahim Sanni,2019008055,Guidance and Counselling,100,43.95657983530734,3.0,39.77365579253845,,89.42848958373978,5,66.93454524231376,3.13,3.17,3.09,61.8,1
Emeka Abdullahi,2018003290,Political Science,200,,3.0,43.1932012108611,,63.07280742951417,8,34.71620135931044,1.95,2.11,2.19,41.85,1
Yusuf Sanni,2018006727,English Language,200,70.93838651419,5.0,54.089875464434364,90.71964776378086,65.68812562399346,7,95.20233505162224,3.98,4.04,3.92,80.18,0
Tunde Nwosu,2021008853,Educational Management,400,41.30356276585616,3.0,36.776710451348,51.40601601169972,51.85499910454548,9,38.66905773603595,2.24,2.47,2.32,43.48,1
Ngozi Olawale,2021006151,Business Education,300,89.97680225713927,8.0,96.31238570107232,73.32414668214682,97.86210086079113,8,43.8586522491835,3.4,3.36,3.39,71.04,0
Ibrahim Ogunleye,2019005018,Yoruba Education,100,75.08915164002508,2.0,58.34958430470721,83.1976818590511,81.31871321916817,7,83.57248567570456,3.8,3.9,3.74,78.0,0
Ade Abdullahi,2020002306,Educational Management,100,70.25368614964333,9.0,86.62787217547242,38.98052809577841,55.82919873102415,9,36.78541792525196,2.5,2.6,2.58,51.0,0
Sola Abdullahi,2022003234,English Language,300,45.745236018873925,4.0,,84.65868481633336,42.23651703631035,9,93.01946697307866,3.9,4.0,4.11,82.23,1
Kemi Okeke,2019009513,Yoruba Education,100,51.46160583601283,6.0,35.65146960019174,95.6958021272746,45.37057145414639,7,80.7990679505775,3.32,3.39,3.3,67.66,0
Yusuf Okeke,2020005870,Chemistry,200,45.420281623846776,2.0,75.61686275544957,80.98624760224862,62.474560027703504,5,34.80345999762012,2.9,2.65,2.82,57.74,1
Emeka Adeyemi,2020003711,Yoruba Education,100,90.3756552566619,4.0,90.99863607188499,60.885592393639065,95.97978802200365,5,78.42929428999571,3.99,4.26,3.85,80.94,0
Tunde Olawale,2021004764,Mathematics,100,72.97481090397918,8.0,74.39641037767097,91.3674697126192,81.39024420326427,7,74.21399795199224,3.92,3.85,3.88,79.12,0
Yusuf Ajayi,2020006201,Biology,400,82.78341278877616,3.0,60.031828495018885,,45.06706237254049,7,83.01446029179431,3.38,3.69,3.5,67.61,0
Yusuf Ajayi,2023005837,Political Science,100,54.24213608915167,2.0,60.17534503465568,82.13396494717279,90.16927933932286,5,87.9738496742535,3.99,4.08,3.95,81.69,0
Chioma Nwosu,2020007297,Geography,100,59.131421410738014,6.0,32.51292202051512,87.43541607010229,56.47403661067767,5,80.28453942212084,3.47,3.52,3.61,67.4,0
Aisha Nwosu,2021003317,Yoruba Education,400,61.315572687724696,2.0,67.42205259024928,82.4547003189304,89.6205527926763,8,,4.03,3.81,3.89,76.31,0
Tunde Eze,2020006842,Geography,100,84.40097316336227,4.0,,50.14984132337078,46.918971858679164,8,52.57243230072444,2.95,3.01,2.96,60.35,0
Emeka Balogun,2019004983,Educational Management,400,85.20294419884692,5.0,97.10952681803539,38.249073063408176,73.30624283554224,5,78.80915632809504,3.74,3.58,3.62,73.26,0
Aisha Eze,2022009464,Economics,100,48.44287928841206,6.0,32.82794601895142,,,7,96.98801092415457,3.65,3.7,3.48,73.67,1
Emeka Abdullahi,2019002421,Physics,100,96.20002568797644,7.0,79.40579025406417,65.20124558862473,48.05258064034559,5,71.12652463702119,3.4,3.4,3.29,66.98,0
Emeka Nwosu,2020002335,Chemistry,100,42.842596933839616,7.0,51.123540668785154,65.3693845605167,78.50486134100984,8,76.50414079039777,3.71,3.36,3.63,69.6,1
Chioma Okeke,2023005154,Biology,300,93.24793535753597,9.0,93.20924073842957,70.78510445201763,99.11188339700007,9,60.598962953986046,3.92,3.82,3.66,76.86,0
Kemi Abdullahi,2024005574,Physics,300,41.52571696723761,1.0,33.1580321996495,57.65712862835236,40.54188010701024,9,82.92845668201521,2.71,2.88,2.72,59.44,1
Ibrahim Ogunleye,2022007217,History,200,52.19508772483522,4.0,95.51118714077563,85.08239670150193,36.18816034904721,7,99.83671746370452,4.23,4.51,4.33,83.29,0
Sola Okeke,2024004635,Geography,100,90.02110484441721,1.0,88.62330206514437,93.92076252430455,77.19366347113714,8,41.22725268474153,3.61,3.41,3.68,68.44,0
Sola Ogunleye,2023009222,Yoruba Education,100,46.66698470249568,1.0,38.225306757682105,47.27075374356299,53.78151634243213,9,44.16836956526336,2.24,2.51,2.45,45.52,1
Ngozi Ajayi,2021005267,History,300,61.88191553514804,3.0,34.187703612210946,81.55662523913216,34.987113415661376,8,67.76064310650726,3.01,2.83,2.87,57.25,0
Aisha Abdullahi,2023002163,Early Childhood Education,100,64.2408544963682,6.0,88.42953650288551,,63.27139325185229,7,63.696277808316076,3.46,3.6,3.66,71.31,0
Ade Okeke,2020002072,Yoruba Education,300,50.94183324650863,9.0,40.903036968220555,66.61633494955205,82.7639475750769,8,70.00988491547031,3.08,3.1,3.02,66.06,0
Yusuf Abdullahi,2021009759,Political Science,300,81.16593808683913,8.0,67.44287070831093,43.197116371191214,49.958568029063215,7,33.43518334069911,2.3,2.21,2.35,45.49,0
Emeka Abdullahi,2021002206,English Language,400,90.33675221114325,7.0,94.10214005150966,85.66625810078966,53.453281425359435,9,58.29935194313143,3.23,3.53,3.25,69.96,0
Kemi Olawale,2024009529,Biology,200,91.84738409061217,8.0,69.72136794845264,97.24383999401829,89.19895804528805,7,70.80847834458925,3.94,4.22,4.19,79.56,0
Sola Olawale,2023003502,Yoruba Education,100,57.05593947287646,2.0,57.80633110309769,80.52854325635295,66.40503385830417,9,70.9633945913474,3.66,3.5,3.54,69.33,0
Sola Ajayi,2021001840,Computer Science,200,69.50527562870795,9.0,61.15112383977946,94.25019976380138,88.99123781645304,5,,3.68,4.17,3.82,79.28,0
Ibrahim Adeyemi,2022003742,English Language,400,51.14641625126735,9.0,34.41820194927097,98.89296854635998,61.24726445005966,5,80.41512203018647,3.36,3.65,3.48,71.08,0
Ngozi Okeke,2019006531,Chemistry,300,50.91177260075945,1.0,,54.643547196746674,96.70826130920724,5,,3.84,4.23,4.06,79.8,0
Yusuf Balogun,2023004850,Geography,300,45.48151408537507,5.0,51.745792955675796,74.67564870484358,75.55562128024158,7,85.31702087726046,3.72,3.72,3.67,74.52,1
Yusuf Abdullahi,2021008069,Educational Management,200,96.10123570248845,9.0,43.25544441709977,63.175291634665456,38.11292057234746,8,,2.87,3.28,3.13,58.4,0
Aisha Abdullahi,2021006498,Chemistry,100,92.71927385936269,5.0,50.02331112882767,99.06401228042611,91.95650917587605,6,67.6255363776043,3.97,3.69,3.77,75.26,0
Tunde Olawale,2023004606,Computer Science,400,85.5283163663,9.0,97.50612364240352,36.566547680540744,64.24856335815585,5,72.43375002214677,3.58,3.32,3.51,68.64,0
Ibrahim Eze,2022006711,Business Education,400,68.64799888370239,10.0,,58.86624400080572,39.914727758103346,9,37.08353567273326,2.17,1.91,2.09,41.91,1
